,metric,scenario,num_townspeople,num_guacs_per_voter,std,pct_ppl_like,pct_ppl_dislike,loop_step,true_winner_recovered,multiple_winners
97,sum,a-lot-of-contenders,200,20,2,0,0,97,true,false
98,sum,a-lot-of-contenders,200,20,2,0,0,98,true,false
99,sum,a-lot-of-contenders,200,20,2,0,0,99,true,false
100,sum,a-lot-of-contenders,200,20,2,0,10,0,true,false
101,sum,a-lot-of-contenders,200,20,2,0,10,1,true,false
102,sum,a-lot-of-contenders,200,20,2,0,10,2,true,false
103,sum,a-lot-of-contenders,200,20,2,0,10,3,true,false
104,sum,a-lot-of-contenders,200,20,2,0,10,4,true,false
105,sum,a-lot-of-contenders,200,20,2,0,10,5,true,false
106,sum,a-lot-of-contenders,200,20,2,0,10,6,true,false
107,sum,a-lot-of-contenders,200,20,2,0,10,7,true,false
108,sum,a-lot-of-contenders,200,20,2,0,10,8,true,false
109,sum,a-lot-of-contenders,200,20,2,0,10,9,true,false
110,sum,a-lot-of-contenders,200,20,2,0,10,10,true,false
111,sum,a-lot-of-contenders,200,20,2,0,10,11,true,false
112,sum,a-lot-of-contenders,200,20,2,0,10,12,true,false
113,sum,a-lot-of-contenders,200,20,2,0,10,13,true,false
114,sum,a-lot-of-contenders,200,20,2,0,10,14,true,false
115,sum,a-lot-of-contenders,200,20,2,0,10,15,true,false
116,sum,a-lot-of-contenders,200,20,2,0,10,16,true,false
117,sum,a-lot-of-contenders,200,20,2,0,10,17,true,false
118,sum,a-lot-of-contenders,200,20,2,0,10,18,true,false
119,sum,a-lot-of-contenders,200,20,2,0,10,19,true,false
120,sum,a-lot-of-contenders,200,20,2,0,10,20,true,false
121,sum,a-lot-of-contenders,200,20,2,0,10,21,true,false
122,sum,a-lot-of-contenders,200,20,2,0,10,22,true,false
123,sum,a-lot-of-contenders,200,20,2,0,10,23,true,false
124,sum,a-lot-of-contenders,200,20,2,0,10,24,true,false
125,sum,a-lot-of-contenders,200,20,2,0,10,25,true,false
126,sum,a-lot-of-contenders,200,20,2,0,10,26,true,false
127,sum,a-lot-of-contenders,200,20,2,0,10,27,true,false
128,sum,a-lot-of-contenders,200,20,2,0,10,28,true,false
129,sum,a-lot-of-contenders,200,20,2,0,10,29,true,false
130,sum,a-lot-of-contenders,200,20,2,0,10,30,true,false
131,sum,a-lot-of-contenders,200,20,2,0,10,31,true,false
132,sum,a-lot-of-contenders,200,20,2,0,10,32,true,false
133,sum,a-lot-of-contenders,200,20,2,0,10,33,true,false
134,sum,a-lot-of-contenders,200,20,2,0,10,34,true,false
135,sum,a-lot-of-contenders,200,20,2,0,10,35,true,false
136,sum,a-lot-of-contenders,200,20,2,0,10,36,true,false
137,sum,a-lot-of-contenders,200,20,2,0,10,37,true,false
138,sum,a-lot-of-contenders,200,20,2,0,10,38,true,false
139,sum,a-lot-of-contenders,200,20,2,0,10,39,true,false
140,sum,a-lot-of-contenders,200,20,2,0,10,40,true,false
141,sum,a-lot-of-contenders,200,20,2,0,10,41,true,false
142,sum,a-lot-of-contenders,200,20,2,0,10,42,true,false
143,sum,a-lot-of-contenders,200,20,2,0,10,43,true,false
144,sum,a-lot-of-contenders,200,20,2,0,10,44,true,false
145,sum,a-lot-of-contenders,200,20,2,0,10,45,true,false
146,sum,a-lot-of-contenders,200,20,2,0,10,46,true,false
147,sum,a-lot-of-contenders,200,20,2,0,10,47,true,false
148,sum,a-lot-of-contenders,200,20,2,0,10,48,true,false
149,sum,a-lot-of-contenders,200,20,2,0,10,49,true,false
150,sum,a-lot-of-contenders,200,20,2,0,10,50,true,false
151,sum,a-lot-of-contenders,200,20,2,0,10,51,true,false
152,sum,a-lot-of-contenders,200,20,2,0,10,52,true,false
153,sum,a-lot-of-contenders,200,20,2,0,10,53,true,false
154,sum,a-lot-of-contenders,200,20,2,0,10,54,true,false
155,sum,a-lot-of-contenders,200,20,2,0,10,55,true,false
156,sum,a-lot-of-contenders,200,20,2,0,10,56,true,false
157,sum,a-lot-of-contenders,200,20,2,0,10,57,true,false
158,sum,a-lot-of-contenders,200,20,2,0,10,58,true,false
159,sum,a-lot-of-contenders,200,20,2,0,10,59,true,false
160,sum,a-lot-of-contenders,200,20,2,0,10,60,true,false
161,sum,a-lot-of-contenders,200,20,2,0,10,61,true,false
162,sum,a-lot-of-contenders,200,20,2,0,10,62,true,false
163,sum,a-lot-of-contenders,200,20,2,0,10,63,true,false
164,sum,a-lot-of-contenders,200,20,2,0,10,64,true,false
165,sum,a-lot-of-contenders,200,20,2,0,10,65,true,false
166,sum,a-lot-of-contenders,200,20,2,0,10,66,true,false
167,sum,a-lot-of-contenders,200,20,2,0,10,67,true,false
168,sum,a-lot-of-contenders,200,20,2,0,10,68,true,false
169,sum,a-lot-of-contenders,200,20,2,0,10,69,true,false
170,sum,a-lot-of-contenders,200,20,2,0,10,70,true,false
171,sum,a-lot-of-contenders,200,20,2,0,10,71,true,false
172,sum,a-lot-of-contenders,200,20,2,0,10,72,true,false
173,sum,a-lot-of-contenders,200,20,2,0,10,73,true,false
174,sum,a-lot-of-contenders,200,20,2,0,10,74,true,false
175,sum,a-lot-of-contenders,200,20,2,0,10,75,true,false
176,sum,a-lot-of-contenders,200,20,2,0,10,76,true,false
177,sum,a-lot-of-contenders,200,20,2,0,10,77,true,false
178,sum,a-lot-of-contenders,200,20,2,0,10,78,true,false
179,sum,a-lot-of-contenders,200,20,2,0,10,79,true,false
180,sum,a-lot-of-contenders,200,20,2,0,10,80,true,false
181,sum,a-lot-of-contenders,200,20,2,0,10,81,true,false
182,sum,a-lot-of-contenders,200,20,2,0,10,82,true,false
183,sum,a-lot-of-contenders,200,20,2,0,10,83,true,false
184,sum,a-lot-of-contenders,200,20,2,0,10,84,true,false
185,sum,a-lot-of-contenders,200,20,2,0,10,85,true,false
186,sum,a-lot-of-contenders,200,20,2,0,10,86,true,false
187,sum,a-lot-of-contenders,200,20,2,0,10,87,true,false
188,sum,a-lot-of-contenders,200,20,2,0,10,88,true,false
189,sum,a-lot-of-contenders,200,20,2,0,10,89,true,false
190,sum,a-lot-of-contenders,200,20,2,0,10,90,true,false
191,sum,a-lot-of-contenders,200,20,2,0,10,91,true,false
192,sum,a-lot-of-contenders,200,20,2,0,10,92,true,false
193,sum,a-lot-of-contenders,200,20,2,0,10,93,true,false
