,metric,scenario,num_townspeople,num_guacs_per_voter,std,pct_ppl_like,pct_ppl_dislike,loop_step,true_winner_recovered,multiple_winners
110,sum,one-clear-winner,200,20,2,0,10,10,true,false
111,sum,one-clear-winner,200,20,2,0,10,11,true,false
112,sum,one-clear-winner,200,20,2,0,10,12,true,false
113,sum,one-clear-winner,200,20,2,0,10,13,true,false
114,sum,one-clear-winner,200,20,2,0,10,14,true,false
115,sum,one-clear-winner,200,20,2,0,10,15,true,false
116,sum,one-clear-winner,200,20,2,0,10,16,true,false
117,sum,one-clear-winner,200,20,2,0,10,17,true,false
118,sum,one-clear-winner,200,20,2,0,10,18,true,false
119,sum,one-clear-winner,200,20,2,0,10,19,true,false
120,sum,one-clear-winner,200,20,2,0,10,20,true,false
121,sum,one-clear-winner,200,20,2,0,10,21,true,false
122,sum,one-clear-winner,200,20,2,0,10,22,true,false
123,sum,one-clear-winner,200,20,2,0,10,23,true,false
124,sum,one-clear-winner,200,20,2,0,10,24,true,false
125,sum,one-clear-winner,200,20,2,0,10,25,true,false
126,sum,one-clear-winner,200,20,2,0,10,26,true,false
127,sum,one-clear-winner,200,20,2,0,10,27,true,false
128,sum,one-clear-winner,200,20,2,0,10,28,true,false
129,sum,one-clear-winner,200,20,2,0,10,29,true,false
130,sum,one-clear-winner,200,20,2,0,10,30,true,false
131,sum,one-clear-winner,200,20,2,0,10,31,true,false
132,sum,one-clear-winner,200,20,2,0,10,32,true,false
133,sum,one-clear-winner,200,20,2,0,10,33,true,false
134,sum,one-clear-winner,200,20,2,0,10,34,true,false
135,sum,one-clear-winner,200,20,2,0,10,35,true,false
136,sum,one-clear-winner,200,20,2,0,10,36,true,false
137,sum,one-clear-winner,200,20,2,0,10,37,true,false
138,sum,one-clear-winner,200,20,2,0,10,38,true,false
139,sum,one-clear-winner,200,20,2,0,10,39,true,false
140,sum,one-clear-winner,200,20,2,0,10,40,true,false
141,sum,one-clear-winner,200,20,2,0,10,41,true,false
142,sum,one-clear-winner,200,20,2,0,10,42,true,false
143,sum,one-clear-winner,200,20,2,0,10,43,true,false
144,sum,one-clear-winner,200,20,2,0,10,44,true,false
145,sum,one-clear-winner,200,20,2,0,10,45,true,false
146,sum,one-clear-winner,200,20,2,0,10,46,true,false
147,sum,one-clear-winner,200,20,2,0,10,47,true,false
148,sum,one-clear-winner,200,20,2,0,10,48,true,false
149,sum,one-clear-winner,200,20,2,0,10,49,true,false
150,sum,one-clear-winner,200,20,2,0,10,50,true,false
151,sum,one-clear-winner,200,20,2,0,10,51,true,false
152,sum,one-clear-winner,200,20,2,0,10,52,true,false
153,sum,one-clear-winner,200,20,2,0,10,53,true,false
154,sum,one-clear-winner,200,20,2,0,10,54,true,false
155,sum,one-clear-winner,200,20,2,0,10,55,true,false
156,sum,one-clear-winner,200,20,2,0,10,56,true,false
157,sum,one-clear-winner,200,20,2,0,10,57,true,false
158,sum,one-clear-winner,200,20,2,0,10,58,true,false
159,sum,one-clear-winner,200,20,2,0,10,59,true,false
160,sum,one-clear-winner,200,20,2,0,10,60,true,false
161,sum,one-clear-winner,200,20,2,0,10,61,true,false
162,sum,one-clear-winner,200,20,2,0,10,62,true,false
163,sum,one-clear-winner,200,20,2,0,10,63,true,false
164,sum,one-clear-winner,200,20,2,0,10,64,true,false
165,sum,one-clear-winner,200,20,2,0,10,65,true,false
166,sum,one-clear-winner,200,20,2,0,10,66,true,false
167,sum,one-clear-winner,200,20,2,0,10,67,true,false
168,sum,one-clear-winner,200,20,2,0,10,68,true,false
169,sum,one-clear-winner,200,20,2,0,10,69,true,false
170,sum,one-clear-winner,200,20,2,0,10,70,true,false
171,sum,one-clear-winner,200,20,2,0,10,71,true,false
172,sum,one-clear-winner,200,20,2,0,10,72,true,false
173,sum,one-clear-winner,200,20,2,0,10,73,true,false
174,sum,one-clear-winner,200,20,2,0,10,74,true,false
175,sum,one-clear-winner,200,20,2,0,10,75,true,false
176,sum,one-clear-winner,200,20,2,0,10,76,true,false
